macrozona;nombre;marca;codigo;n;precio_compra_prom;precio_compra_std;margen_error_compra;precio_compra_sup;precio_compra_inf;perc_error_compra;precio_venta_prom;precio_venta_std;margen_error_venta;precio_venta_sup;precio_venta_inf;perc_error_venta
MACROZONA_4;GALLETA MCKAY MANTEQUILLA 140 GRS;MCKAY;7,80223E+12;50;485.66;58.44;16.2;501.86;469.46;3.335;717.56;72.67;20.14;737.7;697.42;2.807
MACROZONA_4;GALLETAS VINO MCKAY, 155 G;MCKAY;7,61303E+12;59;489.24;46.19;11.79;501.02;477.45;2.409;717.75;83.66;21.35;739.09;696.4;2.974
MACROZONA_4;GALLETA COSTA SODA LINE 180 GRS;COSTA;7,80222E+12;32;636.56;75.91;26.3;662.86;610.26;4.132;933.03;71.68;24.84;957.87;908.19;2.662
MACROZONA_4;GALLETA COSTA SODA 180 GRS;COSTA;7,80222E+12;69;633.09;99.74;23.53;656.62;609.55;3.717;945.30;91.4;21.57;966.87;923.74;2.281
MACROZONA_4;GALLETA SELZ CRAKER 107 G;SELZ;7,80223E+12;54;367.93;67.66;18.05;385.97;349.88;4.905;562.35;96.04;25.62;587.97;536.74;4.555
MACROZONA_4;GALLETA COSTA DONUTS LECHE 100 GRS;COSTA;7,80222E+12;74;666.09;97.37;22.19;688.28;643.91;3.331;995.53;93.78;21.37;1016.89;974.16;2.146
MACROZONA_4;GALLETA COSTA NIK FRUTILLA 71 GRS;COSTA;7,80222E+12;74;313.42;69.39;15.81;329.23;297.61;5.044;489.34;88.6;20.19;509.53;469.15;4.125
MACROZONA_4;GALLETA COSTA NIK LIMON 71 GRS;COSTA;7,80222E+12;57;313.65;76.1;19.76;333.41;293.89;6.299;495.32;99.57;25.85;521.17;469.47;5.219
MACROZONA_4;GALLETA COSTA NIK BOCADO 71 GRS;COSTA;7,80222E+12;83;311.53;65.16;14.02;325.55;297.51;4.5;487.12;87.37;18.8;505.92;468.32;3.859
MACROZONA_4;TURRON DE MANI DOS EN UNO 45 GRS;DOS EN UNO;7,80223E+12;43;178.05;33.33;9.96;188.01;168.08;5.596;284.84;55.75;16.66;301.5;268.18;5.85
MACROZONA_4;GALLETAS OREO MINI 40G;OREO;7,62221E+12;19;213.84;67.61;30.4;244.24;183.44;14.217;335.21;71.59;32.19;367.4;303.02;9.603
MACROZONA_4;GALLETA SELZ CRACKER 57 G;SELZ;7,80223E+12;33;162.94;38.41;13.1;176.04;149.83;8.043;281.42;52.71;17.99;299.41;263.44;6.391
MACROZONA_4;FRUNA GALLETA SERRANITA 64GR;FRUNA;7,80241E+12;31;127.94;22.73;8.0;135.94;119.93;6.255;218.81;36.0;12.67;231.48;206.13;5.792
MACROZONA_4;CEREAL TRIX NESTLÉ, BOLSA INDV. 30 G;TRIX;7,50107E+12;25;229.60;34.88;13.67;243.27;215.93;5.955;373.60;49.66;19.46;393.06;354.14;5.21
MACROZONA_4;CEREAL CHOCAPIC NESTLÉ, BOLSA INDV. 30 G;CHOCAPIC;7,61303E+12;31;235.55;30.92;10.89;246.43;224.66;4.621;367.68;49.2;17.32;385.0;350.36;4.71
MACROZONA_4;CEREAL MILO NESTLÉ, BOLSA INDV. 30 G;MILO;7,61303E+12;23;243.70;27.4;11.2;254.89;232.5;4.595;367.39;49.1;20.07;387.46;347.32;5.462
MACROZONA_4;GALLETA COSTA OBSESION 85 GRS;COSTA;7,80222E+12;73;678.82;96.06;22.04;700.86;656.79;3.246;982.15;86.04;19.74;1001.89;962.41;2.01
