"macrozona","nombre","marca","codigo","n","precio_compra_prom","precio_compra_std","margen_error_compra","precio_compra_sup","precio_compra_inf","perc_error_compra","precio_venta_prom","precio_venta_std","margen_error_venta","precio_venta_sup","precio_venta_inf","perc_error_venta"
MACROZONA_4,AGUA MAS PERA 1.6 L,MAS,"7801620006655",53,811.83,89.58,24.12,835.95,787.71,2.971,1174.06,120.69,32.49,1206.55,1141.56,2.768
MACROZONA_4,GALLETA COSTA DIN DON 115 GRS,COSTA,"7802215502514",48,369.81,49.83,14.1,383.91,355.72,3.812,587.15,80.93,22.89,610.04,564.25,3.899
MACROZONA_4,GALLETA COSTA TUAREG 120 GRS,COSTA,"7802215502262",68,380.56,46.34,11.02,391.57,369.54,2.895,602.75,74.25,17.65,620.4,585.1,2.928
MACROZONA_4,ACEITUNA DON JUAN HUASCO 200 G,DON JUAN,"7802351121204",22,954.00,181.68,75.92,1029.92,878.08,7.958,1412.64,179.81,75.14,1487.78,1337.5,5.319
MACROZONA_4,TACOS Y FAJITAS L 256G, ,"7802095181113",21,844.57,23.18,9.91,854.48,834.66,1.174,1281.71,138.59,59.28,1340.99,1222.44,4.625
MACROZONA_4,BURRITO PANCHO VILLA XL 8 UN X 350 GRS,PANCHO VILLA,"7802095180123",26,1170.27,118.39,45.51,1215.78,1124.76,3.889,1704.15,138.22,53.13,1757.29,1651.02,3.118
MACROZONA_4,QUESAVILLAS PANCHO VILLA 200G,PANCHO VILLA,"7802095000209",21,723.81,112.49,48.11,771.92,675.7,6.647,1044.24,147.55,63.11,1107.35,981.13,6.043
MACROZONA_4,PICKLES SURTIDOS DON JUAN 200 G,DON JUAN,"7802351461201",13,665.31,186.37,101.31,766.62,564.0,15.228,1093.85,164.04,89.17,1183.02,1004.67,8.152
MACROZONA_4,TORTILLAS FUEGO AJI LIMON TAKIS 280G,BARCEL,"757528039608",3,1225.33,95.42,107.98,1333.31,1117.35,8.812,1696.67,95.04,107.55,1804.22,1589.11,6.339
MACROZONA_4,SALSA BBQ MARCO POLO 270 GR.,MARCO POLO,"7802420003578",18,1023.28,153.33,70.83,1094.11,952.44,6.922,1555.50,110.23,50.92,1606.42,1504.58,3.274
MACROZONA_4,AJI PEBRE DON JUAN PET 240 G,DON JUAN,"7802351241018",9,609.56,77.24,50.46,660.02,559.09,8.279,1014.44,105.37,68.84,1083.29,945.6,6.786
MACROZONA_4,"BROWNIE FUCHS 50 GR, CHIPS CHOCOLATE",FUCHS,"7803480000767",30,307.23,33.93,12.14,319.38,295.09,3.952,476.60,48.7,17.43,494.03,459.17,3.656
MACROZONA_4,CHOCOLATE BARRA PRESTIGIO 35 GR,PRESTIGIO,"7802230975324",51,318.67,44.39,12.18,330.85,306.48,3.824,488.61,63.84,17.52,506.13,471.09,3.586
MACROZONA_4,MERMELADA LIGHT DURAZNO WATT'S 250 G,MARCA DUMMY,"7802810031228",15,784.20,84.37,42.7,826.9,741.5,5.445,1118.67,98.19,49.69,1168.36,1068.98,4.442
MACROZONA_4,MERMELADA DURAZNO BOLA 250 G,MARCA DUMMY,"7802810031020",70,756.81,88.15,20.65,777.46,736.16,2.729,1075.09,139.38,32.65,1107.74,1042.43,3.037
MACROZONA_4,MERMELADA FRUTILLA BOLSA 250 G,MARCA DUMMY,"7802810031075",61,766.16,111.98,28.1,794.26,738.06,3.668,1107.74,146.92,36.87,1144.61,1070.87,3.328
MACROZONA_4,MERMELADA FRAMBUESA BOLSA 250 G,MARCA DUMMY,"7802810031082",21,767.38,72.83,31.15,798.53,736.23,4.059,1115.24,126.08,53.93,1169.16,1061.31,4.835
MACROZONA_4,LECHE NATURAL COLUN SIN TAPA 1 L,COLUN,"7802920777542",88,775.47,69.86,14.6,790.06,760.87,1.882,1061.11,90.9,18.99,1080.11,1042.12,1.79
MACROZONA_4,"GALLETAS TRITÓN RELLENAS VAINILLA MCKAY, 126 G",TRITON,"7802230086952",105,455.83,54.45,10.42,466.24,445.41,2.285,688.74,81.52,15.59,704.34,673.15,2.264
MACROZONA_4,"GALLETAS TRITÓN RELLENAS CHOCOLATE MCKAY, 126 G",TRITON,"7802230086969",71,435.25,86.8,20.19,455.44,415.06,4.639,682.76,70.77,16.46,699.22,666.3,2.411
MACROZONA_4,"GALLETAS MINI MOROCHA MCKAY,50 G",MOROCHA,"7613032443221",70,201.93,30.68,7.19,209.12,194.74,3.559,310.20,40.97,9.6,319.8,300.6,3.094
MACROZONA_4,"GALLETAS MARAVILLA MCKAY, 147 G",MCKAY,"7613032789480",46,484.09,64.08,18.52,502.6,465.57,3.825,710.65,76.29,22.05,732.7,688.61,3.102
MACROZONA_4,"MCKAY GALLETA NIZA, 150 GR.",MCKAY,"7613032590369",53,484.00,55.35,14.9,498.9,469.1,3.079,713.94,69.0,18.58,732.52,695.37,2.602
MACROZONA_4,GALLETA MCKAY MANTEQUILLA 140 GRS,MCKAY,"7802230083951",50,485.66,58.44,16.2,501.86,469.46,3.335,717.56,72.67,20.14,737.7,697.42,2.807
MACROZONA_4,"GALLETAS VINO MCKAY, 155 G",MCKAY,"7613032443191",59,489.24,46.19,11.79,501.02,477.45,2.409,717.75,83.66,21.35,739.09,696.4,2.974
MACROZONA_4,GALLETA COSTA SODA LINE 180 GRS,COSTA,"7802215511042",32,636.56,75.91,26.3,662.86,610.26,4.132,933.03,71.68,24.84,957.87,908.19,2.662
MACROZONA_4,GALLETA COSTA SODA 180 GRS,COSTA,"7802215501968",69,633.09,99.74,23.53,656.62,609.55,3.717,945.30,91.4,21.57,966.87,923.74,2.281
MACROZONA_4,GALLETA SELZ CRAKER 107 G,SELZ,"7802225682107",54,367.93,67.66,18.05,385.97,349.88,4.905,562.35,96.04,25.62,587.97,536.74,4.555
MACROZONA_4,GALLETA COSTA DONUTS LECHE 100 GRS,COSTA,"7802215508523",74,666.09,97.37,22.19,688.28,643.91,3.331,995.53,93.78,21.37,1016.89,974.16,2.146
MACROZONA_4,GALLETA COSTA NIK FRUTILLA 71 GRS,COSTA,"7802215504662",74,313.42,69.39,15.81,329.23,297.61,5.044,489.34,88.6,20.19,509.53,469.15,4.125
MACROZONA_4,GALLETA COSTA NIK LIMON 71 GRS,COSTA,"7802215504679",57,313.65,76.1,19.76,333.41,293.89,6.299,495.32,99.57,25.85,521.17,469.47,5.219
MACROZONA_4,GALLETA COSTA NIK BOCADO 71 GRS,COSTA,"7802215504655",83,311.53,65.16,14.02,325.55,297.51,4.5,487.12,87.37,18.8,505.92,468.32,3.859
MACROZONA_4,TURRON DE MANI DOS EN UNO 45 GRS,DOS EN UNO,"7802225260657",43,178.05,33.33,9.96,188.01,168.08,5.596,284.84,55.75,16.66,301.5,268.18,5.85
MACROZONA_4,GALLETAS OREO MINI 40G,OREO,"7622210633842",19,213.84,67.61,30.4,244.24,183.44,14.217,335.21,71.59,32.19,367.4,303.02,9.603
MACROZONA_4,GALLETA SELZ CRACKER 57 G,SELZ,"7802225683289",33,162.94,38.41,13.1,176.04,149.83,8.043,281.42,52.71,17.99,299.41,263.44,6.391
MACROZONA_4,FRUNA GALLETA SERRANITA 64GR,FRUNA,"7802408015241",31,127.94,22.73,8.0,135.94,119.93,6.255,218.81,36.0,12.67,231.48,206.13,5.792
MACROZONA_4,"CEREAL TRIX NESTLÉ, BOLSA INDV. 30 G",TRIX,"7501073427532",25,229.60,34.88,13.67,243.27,215.93,5.955,373.60,49.66,19.46,393.06,354.14,5.21
